id,title,year,duration,genre,rating_imdb,oscar
tt0066461,One Song a Day Takes Mischief Away,1970,85,"Comedy, Drama, Musical, Romance",8.5,0
tt0054215,Psycho,1960,109,"Psychological Horror, Psychological Thriller, Slasher Horror, Suspense Mystery, Horror, Mystery, Thriller",8.5,4
tt9799960,311 Enlarged to Show Detail 3,2019,133,Music,8.5,0
tt20850406,Sita Ramam,2022,163,"Action, Drama, Mystery, Romance",8.5,0
tt0231348,Cheluvi,1992,102,Drama,8.5,0
tt1518255,Raw Faith,2010,94,"Docudrama, Biography, Documentary, Drama, Family, Romance",8.5,0
tt10826774,Disfluency,2021,95,Drama,8.5,0
tt1152758,Dear Zachary: A Letter to a Son About His Father,2008,95,"Biography, Crime, Documentary, Drama",8.5,0
tt1795369,National Theatre Live: Frankenstein,2011,130,"Drama, Horror, SciFi",8.5,0
tt10811166,The Kashmir Files,2022,170,"Political Drama, Tragedy, Drama",8.5,0
tt0078748,Alien,1979,117,"Cyberpunk, Monster Horror, Space SciFi, Horror, SciFi",8.5,0
tt0482571,The Prestige,2006,130,"Period Drama, Steampunk, Tragedy, Drama, Mystery, SciFi, Thriller",8.5,2
tt0261075,Mooga Manasulu,1964,164,Drama,8.5,0
tt0088763,Back to the Future,1985,116,"HighConcept Comedy, Teen Adventure, Teen Comedy, Time Travel, Urban Adventure, Adventure, Comedy, SciFi",8.5,0
tt0064116,Once Upon a Time in the West,1968,166,"Desert Adventure, Spaghetti Western, Western Epic, Drama, Western",8.5,0
tt0253997,The King of the Street Cleaners,1977,80,"Comedy, Romance",8.5,0
tt15239678,Dune: Part Two,2024,166,"Action Epic, Desert Adventure, Epic, SciFi Epic, Space SciFi, Action, Adventure, Drama, SciFi",8.5,0
tt0110357,The Lion King,1994,88,"Animal Adventure, ComingofAge, HandDrawn Animation, Jungle Adventure, Adventure, Animation, Drama, Family, Fantasy, Musical",8.5,0
tt0095765,Cinema Paradiso,1988,174,"ComingofAge, Drama, Romance",8.5,0
tt0155265,Thillu Mullu,1981,136,Comedy,8.5,0
tt0263975,The Girl with the Red Scarf,1977,90,"Tragic Romance, Drama, Romance",8.5,0
tt0937221,The Full Picture,2008,80,Comedy,8.5,0
tt0103767,Baraka,1992,96,"Faith  Spirituality Documentary, Travel Documentary, Documentary",8.5,0
tt0075467,The Fifth Seal,1976,116,"Drama, War",8.5,0
tt0066078,Michael the Brave,1971,203,"Action, Biography, Drama, History, War",8.5,0
tt0120586,American History X,1998,119,"Prison Drama, Tragedy, Crime, Drama",8.5,1
tt0346336,The Best of Youth,2003,374,"Epic, Drama, Romance",8.5,0
tt0220861,The Winners,1997,85,Documentary,8.5,0
tt0102369,Mother,1990,108,Drama,8.5,0
tt2582802,Whiplash,2014,106,"Psychological Drama, Drama, Music",8.5,0
tt10378492,Uncharitable,2023,90,Documentary,8.5,0
tt1303821,Whiz Kids,2009,82,Documentary,8.5,0
tt0110413,Léon: The Professional,1994,110,"Gangster, OnePerson Army Action, Action, Crime, Drama, Thriller",8.5,0
tt16378034,Tantura,2022,94,"History Documentary, Military Documentary, Documentary, History",8.5,0
tt9617456,For Sama,2019,100,"Military Documentary, Biography, Documentary, War",8.5,1
tt0146645,Dosti,1964,163,"Drama, Family, Musical",8.5,0
tt10160700,Russ Taff: I Still Believe,2018,104,Documentary,8.5,0
tt30973483,Queen Rock Montreal,2024,95,"Concert, Documentary, Music",8.5,0
tt0123391,The Miscellaneous Brigade Strikes Again,1970,100,Comedy,8.5,0
tt0285665,Kuruthipunal,1995,143,"Action, Drama, Thriller",8.5,0
